# x_perp   Delta_GR(km/s)   Delta_f(R)(km/s)   Delta_DGP(km/s)
1.39051   -4.91932   -6.5591   -3.49343
1.39476   -4.9265   -6.56867   -3.49853
1.39901   -4.93367   -6.57823   -3.50362
1.40326   -4.94083   -6.58777   -3.5087
1.40751   -4.94797   -6.5973   -3.51378
1.41177   -4.9551   -6.6068   -3.51884
1.41602   -4.96222   -6.6163   -3.5239
1.42027   -4.96933   -6.62577   -3.52894
1.42452   -4.97643   -6.63523   -3.53398
1.42878   -4.98351   -6.64468   -3.53901
1.43303   -4.99058   -6.65411   -3.54403
1.43728   -4.99764   -6.66352   -3.54905
1.44153   -5.00469   -6.67292   -3.55405
1.44579   -5.01172   -6.6823   -3.55905
1.45004   -5.01875   -6.69166   -3.56404
1.45429   -5.02576   -6.70101   -3.56902
1.45854   -5.03276   -6.71034   -3.57399
1.46279   -5.03974   -6.71966   -3.57895
1.46705   -5.04672   -6.72896   -3.5839
1.4713   -5.05369   -6.73825   -3.58885
1.47555   -5.06064   -6.74752   -3.59379
1.4798   -5.06758   -6.75677   -3.59872
1.48406   -5.07451   -6.76601   -3.60364
1.48831   -5.08143   -6.77524   -3.60855
1.49256   -5.08834   -6.78445   -3.61346
1.49681   -5.09523   -6.79364   -3.61835
1.50107   -5.10211   -6.80282   -3.62324
1.50532   -5.10899   -6.81198   -3.62812
1.50957   -5.11585   -6.82113   -3.63299
1.51382   -5.1227   -6.83026   -3.63786
1.51807   -5.12954   -6.83938   -3.64271
1.52233   -5.13636   -6.84849   -3.64756
1.52658   -5.14318   -6.85757   -3.6524
1.53083   -5.14998   -6.86665   -3.65724
1.53508   -5.15678   -6.8757   -3.66206
1.53934   -5.16356   -6.88475   -3.66688
1.54359   -5.17033   -6.89378   -3.67169
1.54784   -5.17709   -6.90279   -3.67649
1.55209   -5.18384   -6.91179   -3.68128
1.55635   -5.19058   -6.92078   -3.68607
1.5606   -5.19731   -6.92975   -3.69084
1.56485   -5.20403   -6.9387   -3.69561
1.5691   -5.21073   -6.94764   -3.70037
1.57335   -5.21743   -6.95657   -3.70513
1.57761   -5.22411   -6.96548   -3.70988
1.58186   -5.23078   -6.97438   -3.71461
1.58611   -5.23745   -6.98326   -3.71935
1.59036   -5.2441   -6.99213   -3.72407
1.59462   -5.25074   -7.00099   -3.72879
1.59887   -5.25737   -7.00983   -3.7335
1.60312   -5.26399   -7.01865   -3.7382
1.60737   -5.2706   -7.02747   -3.74289
1.61163   -5.2772   -7.03627   -3.74758
1.61588   -5.28379   -7.04505   -3.75225
1.62013   -5.29036   -7.05382   -3.75693
1.62438   -5.29693   -7.06258   -3.76159
1.62863   -5.30349   -7.07132   -3.76625
1.63289   -5.31004   -7.08005   -3.77089
1.63714   -5.31657   -7.08876   -3.77554
1.64139   -5.3231   -7.09746   -3.78017
1.64564   -5.32961   -7.10615   -3.7848
1.6499   -5.33612   -7.11482   -3.78942
1.65415   -5.34261   -7.12348   -3.79403
1.6584   -5.3491   -7.13213   -3.79864
1.66265   -5.35557   -7.14076   -3.80323
1.66691   -5.36204   -7.14938   -3.80782
1.67116   -5.36849   -7.15799   -3.81241
1.67541   -5.37494   -7.16658   -3.81698
1.67966   -5.38137   -7.17516   -3.82155
1.68391   -5.38779   -7.18373   -3.82611
1.68817   -5.39421   -7.19228   -3.83067
1.69242   -5.40061   -7.20082   -3.83522
1.69667   -5.40701   -7.20934   -3.83976
1.70092   -5.41339   -7.21785   -3.84429
1.70518   -5.41976   -7.22635   -3.84882
1.70943   -5.42613   -7.23484   -3.85334
1.71368   -5.43248   -7.24331   -3.85785
1.71793   -5.43883   -7.25177   -3.86236
1.72219   -5.44516   -7.26022   -3.86686
1.72644   -5.45149   -7.26865   -3.87135
1.73069   -5.4578   -7.27707   -3.87583
1.73494   -5.46411   -7.28548   -3.88031
1.73919   -5.47041   -7.29387   -3.88478
1.74345   -5.47669   -7.30226   -3.88925
1.7477   -5.48297   -7.31063   -3.8937
1.75195   -5.48924   -7.31898   -3.89815
1.7562   -5.49549   -7.32733   -3.9026
1.76046   -5.50174   -7.33566   -3.90703
1.76471   -5.50798   -7.34397   -3.91146
1.76896   -5.51421   -7.35228   -3.91589
1.77321   -5.52043   -7.36057   -3.9203
1.77747   -5.52664   -7.36885   -3.92472
1.78172   -5.53284   -7.37712   -3.92912
1.78597   -5.53903   -7.38538   -3.93352
1.79022   -5.54521   -7.39362   -3.93791
1.79447   -5.55139   -7.40185   -3.94229
1.79873   -5.55755   -7.41007   -3.94667
1.80298   -5.5637   -7.41827   -3.95104
1.80723   -5.56985   -7.42646   -3.9554
1.81148   -5.57598   -7.43465   -3.95976
1.81574   -5.58211   -7.44281   -3.96411
1.81999   -5.58823   -7.45097   -3.96845
1.82424   -5.59434   -7.45911   -3.97279
1.82849   -5.60043   -7.46725   -3.97712
1.83275   -5.60652   -7.47537   -3.98144
1.837   -5.61261   -7.48347   -3.98576
1.84125   -5.61868   -7.49157   -3.99007
1.8455   -5.62474   -7.49965   -3.99438
1.84975   -5.63079   -7.50772   -3.99868
1.85401   -5.63684   -7.51578   -4.00297
1.85826   -5.64287   -7.52383   -4.00726
1.86251   -5.6489   -7.53187   -4.01154
1.86676   -5.65492   -7.53989   -4.01581
1.87102   -5.66093   -7.5479   -4.02008
1.87527   -5.66693   -7.5559   -4.02434
1.87952   -5.67292   -7.56389   -4.02859
1.88377   -5.6789   -7.57187   -4.03284
1.88803   -5.68487   -7.57983   -4.03708
1.89228   -5.69084   -7.58778   -4.04132
1.89653   -5.69679   -7.59573   -4.04555
1.90078   -5.70274   -7.60366   -4.04977
1.90503   -5.70868   -7.61157   -4.05399
1.90929   -5.71461   -7.61948   -4.0582
1.91354   -5.72053   -7.62738   -4.06241
1.91779   -5.72644   -7.63526   -4.06661
1.92204   -5.73235   -7.64313   -4.0708
1.9263   -5.73824   -7.65099   -4.07498
1.93055   -5.74413   -7.65884   -4.07916
1.9348   -5.75001   -7.66668   -4.08334
1.93905   -5.75588   -7.6745   -4.08751
1.94331   -5.76174   -7.68232   -4.09167
1.94756   -5.76759   -7.69012   -4.09583
1.95181   -5.77344   -7.69792   -4.09998
1.95606   -5.77927   -7.7057   -4.10412
1.96031   -5.7851   -7.71347   -4.10826
1.96457   -5.79092   -7.72123   -4.11239
1.96882   -5.79673   -7.72897   -4.11652
1.97307   -5.80253   -7.73671   -4.12064
1.97732   -5.80833   -7.74443   -4.12475
1.98158   -5.81411   -7.75215   -4.12886
1.98583   -5.81989   -7.75985   -4.13296
1.99008   -5.82566   -7.76754   -4.13706
1.99433   -5.83142   -7.77523   -4.14115
1.99859   -5.83717   -7.7829   -4.14524
2.00284   -5.84292   -7.79055   -4.14932
2.00709   -5.84865   -7.7982   -4.15339
2.01134   -5.85438   -7.80584   -4.15746
2.01559   -5.8601   -7.81347   -4.16152
2.01985   -5.86581   -7.82108   -4.16558
2.0241   -5.87152   -7.82869   -4.16963
2.02835   -5.87721   -7.83628   -4.17367
2.0326   -5.8829   -7.84387   -4.17771
2.03686   -5.88858   -7.85144   -4.18174
2.04111   -5.89425   -7.859   -4.18577
2.04536   -5.89991   -7.86655   -4.18979
2.04961   -5.90557   -7.87409   -4.19381
2.05387   -5.91122   -7.88162   -4.19782
2.05812   -5.91686   -7.88914   -4.20183
2.06237   -5.92249   -7.89665   -4.20582
2.06662   -5.92811   -7.90415   -4.20982
2.07088   -5.93373   -7.91164   -4.21381
2.07513   -5.93934   -7.91911   -4.21779
2.07938   -5.94494   -7.92658   -4.22177
2.08363   -5.95053   -7.93404   -4.22574
2.08788   -5.95611   -7.94148   -4.2297
2.09214   -5.96169   -7.94892   -4.23366
2.09639   -5.96726   -7.95634   -4.23762
2.10064   -5.97282   -7.96376   -4.24157
2.10489   -5.97837   -7.97116   -4.24551
2.10915   -5.98392   -7.97856   -4.24945
2.1134   -5.98946   -7.98594   -4.25338
2.11765   -5.99499   -7.99332   -4.25731
2.1219   -6.00051   -8.00068   -4.26123
2.12616   -6.00603   -8.00803   -4.26515
2.13041   -6.01153   -8.01538   -4.26906
2.13466   -6.01703   -8.02271   -4.27297
2.13891   -6.02253   -8.03003   -4.27687
2.14316   -6.02801   -8.03735   -4.28076
2.14742   -6.03349   -8.04465   -4.28465
2.15167   -6.03896   -8.05194   -4.28854
2.15592   -6.04442   -8.05923   -4.29241
2.16017   -6.04987   -8.0665   -4.29629
2.16443   -6.05532   -8.07376   -4.30016
2.16868   -6.06076   -8.08102   -4.30402
2.17293   -6.06619   -8.08826   -4.30788
2.17718   -6.07162   -8.09549   -4.31173
2.18144   -6.07704   -8.10272   -4.31558
2.18569   -6.08245   -8.10993   -4.31942
2.18994   -6.08785   -8.11713   -4.32326
2.19419   -6.09325   -8.12433   -4.32709
2.19844   -6.09863   -8.13151   -4.33091
2.2027   -6.10401   -8.13869   -4.33474
2.20695   -6.10939   -8.14585   -4.33855
2.2112   -6.11475   -8.15301   -4.34236
2.21545   -6.12011   -8.16015   -4.34617
2.21971   -6.12547   -8.16729   -4.34997
2.22396   -6.13081   -8.17441   -4.35376
2.22821   -6.13615   -8.18153   -4.35755
2.23246   -6.14148   -8.18864   -4.36134
2.23672   -6.1468   -8.19573   -4.36512
2.24097   -6.15212   -8.20282   -4.36889
2.24522   -6.15743   -8.2099   -4.37266
2.24947   -6.16273   -8.21697   -4.37643
2.25372   -6.16802   -8.22403   -4.38019
2.25798   -6.17331   -8.23108   -4.38394
2.26223   -6.17859   -8.23812   -4.38769
2.26648   -6.18386   -8.24515   -4.39144
2.27073   -6.18913   -8.25217   -4.39518
2.27499   -6.19439   -8.25918   -4.39891
2.27924   -6.19964   -8.26619   -4.40264
2.28349   -6.20489   -8.27318   -4.40637
2.28774   -6.21012   -8.28016   -4.41009
2.292   -6.21535   -8.28714   -4.4138
2.29625   -6.22058   -8.29411   -4.41751
2.3005   -6.2258   -8.30106   -4.42122
2.30475   -6.23101   -8.30801   -4.42492
2.309   -6.23621   -8.31495   -4.42861
2.31326   -6.24141   -8.32188   -4.4323
2.31751   -6.2466   -8.3288   -4.43599
2.32176   -6.25178   -8.33571   -4.43967
2.32601   -6.25696   -8.34261   -4.44335
2.33027   -6.26213   -8.3495   -4.44702
2.33452   -6.26729   -8.35638   -4.45068
2.33877   -6.27244   -8.36326   -4.45434
2.34302   -6.27759   -8.37012   -4.458
2.34728   -6.28273   -8.37698   -4.46165
2.35153   -6.28787   -8.38383   -4.4653
2.35578   -6.293   -8.39067   -4.46894
2.36003   -6.29812   -8.39749   -4.47258
2.36428   -6.30324   -8.40431   -4.47621
2.36854   -6.30834   -8.41113   -4.47984
2.37279   -6.31345   -8.41793   -4.48346
2.37704   -6.31854   -8.42472   -4.48708
2.38129   -6.32363   -8.43151   -4.49069
2.38555   -6.32871   -8.43828   -4.4943
2.3898   -6.33379   -8.44505   -4.49791
2.39405   -6.33886   -8.45181   -4.50151
2.3983   -6.34392   -8.45856   -4.5051
2.40256   -6.34898   -8.4653   -4.50869
2.40681   -6.35402   -8.47203   -4.51228
2.41106   -6.35907   -8.47876   -4.51586
2.41531   -6.3641   -8.48547   -4.51944
2.41956   -6.36913   -8.49218   -4.52301
2.42382   -6.37416   -8.49888   -4.52657
2.42807   -6.37917   -8.50556   -4.53014
2.43232   -6.38418   -8.51224   -4.5337
2.43657   -6.38919   -8.51892   -4.53725
2.44083   -6.39418   -8.52558   -4.5408
2.44508   -6.39918   -8.53223   -4.54434
2.44933   -6.40416   -8.53888   -4.54788
2.45358   -6.40914   -8.54552   -4.55142
2.45784   -6.41411   -8.55215   -4.55495
2.46209   -6.41908   -8.55877   -4.55847
2.46634   -6.42403   -8.56538   -4.562
2.47059   -6.42899   -8.57198   -4.56551
2.47484   -6.43393   -8.57858   -4.56903
2.4791   -6.43887   -8.58517   -4.57253
2.48335   -6.44381   -8.59174   -4.57604
2.4876   -6.44874   -8.59831   -4.57954
2.49185   -6.45366   -8.60488   -4.58303
2.49611   -6.45857   -8.61143   -4.58652
2.50036   -6.46348   -8.61797   -4.59001
2.50461   -6.46838   -8.62451   -4.59349
2.50886   -6.47328   -8.63104   -4.59697
2.51312   -6.47817   -8.63756   -4.60044
2.51737   -6.48305   -8.64407   -4.60391
2.52162   -6.48793   -8.65058   -4.60737
2.52587   -6.4928   -8.65707   -4.61083
2.53012   -6.49767   -8.66356   -4.61429
2.53438   -6.50253   -8.67004   -4.61774
2.53863   -6.50738   -8.67651   -4.62118
2.54288   -6.51223   -8.68297   -4.62463
